name,type,ownership,city,state,aka,slug
Hindustan College of ARTS and Science,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46270205587,hindustan-college-of-arts-and-science
Karan ARTS and Science College,affiliated_college,private_unaided,Tiruvannamalai,Tamil Nadu,1-46273286381,karan-arts-and-science-college
National Engineering College,affiliated_college,private_unaided,Thoothukudi,Tamil Nadu,1-46269440727,national-engineering-college
Hindusthan College of Science and Commerce,affiliated_college,private_unaided,Erode,Tamil Nadu,1-46269874769,hindusthan-college-of-science-and-commerce
Mazharul Uloom College,affiliated_college,government_aided,Vellore,Tamil Nadu,1-46273397247,mazharul-uloom-college
Einstein College of ARTS and Science,affiliated_college,private_unaided,Tirunelveli,Tamil Nadu,1-46273179655,einstein-college-of-arts-and-science
SRI Eshwar College of Engineering,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46269451259,sri-eshwar-college-of-engineering
Al-Ameen Engineering College,affiliated_college,private_unaided,Erode,Tamil Nadu,1-46269452080,al-ameen-engineering-college
Queen Mary'S College,affiliated_college,government,Chennai,Tamil Nadu,1-46269615853,queen-mary-s-college
ASAN Memorial College of Engineering and Technology,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46269452602,asan-memorial-college-of-engineering-and-technology
Global Business School,affiliated_college,private_unaided,Vellore,Tamil Nadu,1-46269616045,global-business-school-1-46269616045
Government ARTS and Science College Tirupattur,affiliated_college,government,Vellore,Tamil Nadu,1-46269616251,government-arts-and-science-college-tirupattur
SRM ARTS and Science College,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46273458682,srm-arts-and-science-college
Velalar College of Engineering and Technology,affiliated_college,private_unaided,Erode,Tamil Nadu,1-46269475557,velalar-college-of-engineering-and-technology
Government ARTS and Science College Valparai,affiliated_college,government,Coimbatore,Tamil Nadu,1-46269616555,government-arts-and-science-college-valparai
College of FISH Nutrition and FOOD Technology,state_university,government,Thiruvallur,Tamil Nadu,1-46269616798,college-of-fish-nutrition-and-food-technology
